event_id,event_date,district,latitude,longitude,landslide
NEG_0001,2016-06-12 00:00:00,Aizawl,23.563871528160366,92.7208129153357,0
NEG_0002,2008-10-29 00:00:00,Aizawl,24.295396041516685,92.89814320478648,0
NEG_0003,2014-09-24 00:00:00,Aizawl,23.934033695117968,92.86517296821184,0
NEG_0004,2015-09-23 15:00:00,Aizawl,23.778966580178746,92.9090149222461,0
NEG_0005,2010-09-13 09:00:00,Aizawl,23.6921541498751,92.9076085455244,0
NEG_0006,2015-08-26 00:00:00,Aizawl,23.735613735768666,92.64451635891994,0
NEG_0007,2013-09-01 00:00:00,Aizawl,23.98047757948749,92.97354612900101,0
NEG_0008,2015-08-12 00:00:00,Aizawl,23.906675146994612,92.92155602880102,0
NEG_0009,2012-06-13 00:00:00,Aizawl,24.288059808591733,92.87692570090425,0
NEG_0010,2010-07-06 00:00:00,Aizawl,23.4065050457272,92.72715200375066,0
NEG_0011,2016-08-05 00:00:00,Aizawl,23.73583158921991,92.98192956993641,0
NEG_0012,2010-08-13 00:00:00,Aizawl,23.71908114529014,92.88003578721978,0
NEG_0013,2011-06-28 00:00:00,Aizawl,24.06770022415593,92.90923360605434,0
NEG_0014,2010-10-08 00:00:00,Aizawl,23.929336748201745,92.88194092287972,0
NEG_0015,2011-09-06 08:00:00,Aizawl,24.168650497669283,92.97149657096975,0
NEG_0016,2015-08-19 00:00:00,Aizawl,24.20034977468548,92.96220366501767,0
NEG_0017,2010-06-07 00:00:00,Anjaw,28.168024149801433,96.632888390271,0
NEG_0018,2010-09-10 00:00:00,Anjaw,28.157424271246036,97.28164717235899,0
NEG_0019,2010-09-13 00:00:00,Anjaw,27.83682384149718,96.91366205304566,0
NEG_0020,2012-06-13 00:00:00,Barpeta,26.40352218698635,90.922996053456,0
NEG_0021,2010-08-15 23:00:00,Bichom,27.19029382582536,92.86458745508027,0
NEG_0022,2007-07-27 00:00:00,Cachar,24.897913642265028,92.55179692542717,0
NEG_0023,2014-09-22 00:00:00,Cachar,24.787519737577338,92.99352285150827,0
NEG_0024,2010-10-08 00:00:00,Cachar,24.63597804237234,93.06708765130792,0
NEG_0025,2013-08-04 00:00:00,Cachar,24.723438265453826,92.7844445879258,0
NEG_0026,2012-06-25 18:00:00,Cachar,24.960547966350475,93.23920438710424,0
NEG_0027,2010-08-19 00:00:00,Champhai,23.135098120595668,93.32273094457986,0
NEG_0028,2015-06-16 00:00:00,Chandel,24.34633430615902,94.01540834806937,0
NEG_0029,2010-04-20 00:00:00,Chandel,23.990980456120443,94.15443013990873,0
NEG_0030,2013-05-11 00:00:00,Chandel,23.917660990833987,94.13314482092387,0
NEG_0031,2010-07-21 08:00:00,Chandel,24.233060213456955,94.00932267294522,0
NEG_0032,2013-08-16 00:00:00,Chandel,24.30310116627508,94.09364890786838,0
NEG_0033,2013-06-01 00:00:00,Chandel,24.174407016038685,93.9627523904574,0
NEG_0034,2007-07-30 00:00:00,Chandel,23.87174603199583,94.10299341745528,0
NEG_0035,2010-08-17 00:00:00,Chandel,23.99002500654674,93.77181914558531,0
NEG_0036,2012-11-11 00:00:00,Chandel,24.188679817955702,93.9873516377487,0
NEG_0037,2010-11-22 00:00:00,Chandel,23.993320040773128,94.03455800285087,0
NEG_0038,2010-04-17 15:00:00,Chandel,23.95860908872156,94.15480561540306,0
NEG_0039,2016-06-12 23:00:00,Changlang,27.554300585586216,96.24727533866576,0
NEG_0040,2007-09-08 00:00:00,Chumoukedima,25.73854121875132,93.58907354508575,0
NEG_0041,2007-09-11 00:00:00,Chumoukedima,25.77037212334036,93.6359557483935,0
NEG_0042,2012-09-19 00:00:00,Chumoukedima,25.708986051406455,93.75183340269321,0
NEG_0043,2015-08-22 09:00:00,Dibang Valley,28.760486101460767,95.56662294024936,0
NEG_0044,2015-09-06 15:00:00,Dibang Valley,28.75407748624682,95.53569517004131,0
NEG_0045,2011-07-11 09:00:00,Dibang Valley,28.615892565810945,96.31651098724697,0
NEG_0046,2013-07-15 00:00:00,Dibang Valley,28.856152125323327,96.14807407234514,0
NEG_0047,2015-09-01 00:00:00,Dibang Valley,28.92228451840578,96.03507357401928,0
NEG_0048,2013-09-02 00:00:00,Dima Hasao,25.471373470398007,92.57512165491632,0
NEG_0049,2008-06-15 00:00:00,Dima Hasao,25.42595693853939,93.3968749363575,0
NEG_0050,2007-07-19 00:00:00,Dima Hasao,25.480666305603794,92.69774267164382,0
NEG_0051,2010-08-06 00:00:00,Dima Hasao,25.31686424242061,93.34200897116156,0
NEG_0052,2010-06-15 00:00:00,Dima Hasao,25.480224722949483,92.75529862208836,0
NEG_0053,2013-05-11 09:00:00,Dima Hasao,25.2419327084764,93.05933731819877,0
NEG_0054,2010-03-27 20:00:00,Dima Hasao,25.584314333924116,92.71531169496656,0
NEG_0055,2015-08-01 00:00:00,Dima Hasao,25.36266242521681,93.13584351131617,0
NEG_0056,2015-08-02 00:00:00,Dima Hasao,25.056227491174262,93.0572088594076,0
NEG_0057,2015-07-22 00:00:00,Dima Hasao,25.198044501157,92.72378931369167,0
NEG_0058,2015-09-14 03:10:00,Dima Hasao,25.105829691989946,92.87282269879178,0
NEG_0059,2016-05-18 08:00:00,Dima Hasao,25.49490919585902,93.19115856767536,0
NEG_0060,2010-06-16 00:00:00,Dima Hasao,25.542980565579203,93.02475418936709,0
NEG_0061,2015-07-24 00:00:00,East Jaintia Hills,25.322727732184266,92.36035908127303,0
NEG_0062,2011-07-16 00:00:00,East Jaintia Hills,25.121515327598132,92.34922763571463,0
NEG_0063,2013-08-04 00:00:00,East Jaintia Hills,25.309782765559756,92.2998576173162,0
NEG_0064,2014-06-26 23:00:00,East Jaintia Hills,25.139523896690136,92.49050052770454,0
NEG_0065,2015-08-19 00:00:00,East Jaintia Hills,25.216192991874678,92.22955440361577,0
NEG_0066,2012-06-25 00:00:00,East Jaintia Hills,25.224308004049195,92.27331814011413,0
NEG_0067,2016-07-19 00:00:00,East Kameng,27.24336271204924,92.96778490932093,0
NEG_0068,2015-08-01 00:00:00,East Kameng,27.842455469418333,92.95365859245675,0
NEG_0069,2007-05-23 00:00:00,East Kameng,27.507295852250824,92.96005449265337,0
NEG_0070,2015-08-26 00:00:00,East Khasi Hills,25.611595006744253,91.99419590013675,0
NEG_0071,2016-06-12 00:00:00,East Khasi Hills,25.264530643423267,91.52279411743834,0
NEG_0072,2015-08-19 00:00:00,East Khasi Hills,25.440895015362354,91.6383043523845,0
NEG_0073,2010-08-17 00:00:00,East Khasi Hills,25.3567265150561,91.9831471304047,0
NEG_0074,2014-09-22 00:00:00,East Khasi Hills,25.583265815514885,92.04884666531527,0
NEG_0075,2015-06-19 00:00:00,East Khasi Hills,25.14459025642732,91.66152115882811,0
NEG_0076,2014-06-26 23:00:00,East Siang,27.97064255375316,95.29871744024324,0
NEG_0077,2010-04-21 00:00:00,East Siang,27.957148383100776,95.26763778711059,0
NEG_0078,2010-10-08 00:00:00,East Siang,28.018584362583226,95.38977848355344,0
NEG_0079,2009-08-12 00:00:00,Gangtok,27.188102369876873,88.53232513845538,0
NEG_0080,2014-09-22 00:00:00,Gangtok,27.354012918693027,88.69875841755564,0
NEG_0081,2010-10-09 00:00:00,Gangtok,27.283226683405235,88.53564849637009,0
NEG_0082,2016-07-20 00:00:00,Gangtok,27.33036593243181,88.88140902690192,0
NEG_0083,2013-07-01 00:00:00,Gangtok,27.354092555929668,88.84665047366147,0
NEG_0084,2007-07-16 00:00:00,Gangtok,27.341109371109816,88.68379093462644,0
NEG_0085,2012-09-16 00:00:00,Gangtok,27.280559993331064,88.50232711546384,0
NEG_0086,2011-07-22 00:00:00,Gangtok,27.399039695260083,88.76510081591535,0
NEG_0087,2015-08-01 00:00:00,Gangtok,27.370301683738436,88.54192966460828,0
NEG_0088,2014-09-08 00:00:00,Gangtok,27.3039058204521,88.48202668449484,0
NEG_0089,2013-05-11 00:00:00,Gangtok,27.188551784871454,88.51191360811467,0
NEG_0090,2010-09-16 00:00:00,Gangtok,27.35374667391867,88.71653953147418,0
NEG_0091,2012-04-08 00:00:00,Gangtok,27.366443254126963,88.80028501754568,0
NEG_0092,2016-07-14 00:00:00,Gangtok,27.348236833358225,88.82567491325162,0
NEG_0093,2016-07-14 00:00:00,Gyalshing,27.4074047025164,88.30856766497962,0
NEG_0094,2016-07-28 00:00:00,Gyalshing,27.42544952040027,88.26623258106544,0
NEG_0095,2013-05-11 00:00:00,Hailakandi,24.254731700159393,92.580004961311,0
NEG_0096,2010-07-06 00:00:00,Hailakandi,24.695346654955483,92.58150958549308,0
NEG_0097,2015-08-27 00:00:00,Hailakandi,24.714566716892843,92.51896690186649,0
NEG_0098,2011-07-25 00:00:00,Hailakandi,24.340682345707364,92.64547150286984,0
NEG_0099,2008-08-14 00:00:00,Imphal East,24.747441889047472,94.07115257991799,0
NEG_0100,2013-07-12 00:00:00,Imphal East,24.86846076720832,93.97410461124716,0
NEG_0101,2010-04-02 23:00:00,Imphal East,24.785617294692134,93.9975533029215,0
NEG_0102,2016-07-01 00:00:00,Imphal West,24.59663000741551,93.85176018251727,0
NEG_0103,2012-06-03 00:00:00,Imphal West,24.95503180817277,93.87567168053877,0
NEG_0104,2015-09-01 00:00:00,Imphal West,24.78608295782337,93.82386639010144,0
NEG_0105,2016-06-22 12:00:00,Jiribam,24.75878611802888,93.12748067976376,0
NEG_0106,2013-07-01 00:00:00,Kamjong,25.003488872596527,94.57633135452848,0
NEG_0107,2007-07-16 00:00:00,Kamjong,24.641126549377116,94.24522760724716,0
NEG_0108,2012-09-16 00:00:00,Kamjong,24.682820401434338,94.26349714108606,0
NEG_0109,2010-03-27 20:00:00,Kamrup,26.241441655136498,91.68033926393399,0
NEG_0110,2010-10-09 00:00:00,Kamrup,25.9048463815347,91.43616450927911,0
NEG_0111,2007-08-26 00:00:00,Kamrup,26.43206472449733,91.62112902401525,0
NEG_0112,2010-07-19 06:00:00,Kamrup,26.387079337805513,91.65044415842614,0
NEG_0113,2011-08-13 08:00:00,Kamrup Metro,26.08689512801726,92.04238526363049,0
NEG_0114,2011-07-06 00:00:00,Kamrup Metro,26.12358816676286,91.8192860597564,0
NEG_0115,2008-06-09 00:00:00,Kamrup Metro,26.16088150079669,92.15200518404406,0
NEG_0116,2011-05-24 00:00:00,Kamrup Metro,26.109549859718985,91.99603553467124,0
NEG_0117,2013-08-04 00:00:00,Kamrup Metro,26.135894919018032,92.05811512458614,0
NEG_0118,2012-06-14 04:00:00,Kamrup Metro,26.209640112159445,91.84686146737852,0
NEG_0119,2016-07-14 00:00:00,Kamrup Metro,26.060371003934854,92.10329899118085,0
NEG_0120,2014-06-27 00:00:00,Kamrup Metro,26.169243186653393,91.9114548066772,0
NEG_0121,2007-07-27 00:00:00,Kamrup Metro,26.0851333105531,92.051736228047,0
NEG_0122,2010-10-08 00:00:00,Kamrup Metro,26.068689002497678,91.99226678948823,0
NEG_0123,2010-04-20 00:00:00,Kamrup Metro,26.046814829510826,91.87870621419313,0
NEG_0124,2010-04-20 00:00:00,Kamrup Metro,26.12317155205159,92.00389067188668,0
NEG_0125,2015-08-01 00:00:00,Kamrup Metro,26.16352773884582,91.98576018477594,0
NEG_0126,2014-09-23 00:00:00,Kamrup Metro,26.139819790955055,91.78788138076415,0
NEG_0127,2011-07-19 00:00:00,Kamrup Metro,26.189180295043307,91.82263649985448,0
NEG_0128,2010-10-08 00:00:00,Kamrup Metro,26.078770739481694,92.00463499954061,0
NEG_0129,2014-10-01 11:00:00,Kamrup Metro,26.150931246635928,92.02858529313,0
NEG_0130,2014-09-23 03:00:00,Kamrup Metro,26.07381678527916,92.07314676923954,0
NEG_0131,2016-06-12 23:00:00,Kamrup Metro,26.068186617606557,91.88947906759877,0
NEG_0132,2015-07-22 00:00:00,Kamrup Metro,26.176738929924667,91.90130782794138,0
NEG_0133,2016-06-12 00:00:00,Kamrup Metro,26.19093844499602,91.9533086106538,0
NEG_0134,2015-06-19 00:00:00,Kamrup Metro,26.145101793143247,92.09781563360083,0
NEG_0135,2011-08-16 08:00:00,Kamrup Metro,26.123984511239847,91.60102403979917,0
NEG_0136,2013-08-04 00:00:00,Kamrup Metro,26.2006684541521,91.93389415634181,0
NEG_0137,2010-07-29 00:00:00,Kamrup Metro,26.095408615085603,92.03811385859126,0
NEG_0138,2015-09-06 15:00:00,Kamrup Metro,26.14370771275923,91.82468305544899,0
NEG_0139,2013-02-18 00:00:00,Kamrup Metro,26.187681256080445,91.93593285900646,0
